1;1000;opt-101;2018-07-22;1-dev;Decision Optimization 101;Never take a wrong decision again - simply compute your optimal decisions by modeling the reality correctly;1;0
2;2000;opt-uncertainty;2017-12-13;1-dev;Optimization under Uncertainty;We simply do not know the future - how to handle uncertainty within one large optimization model;0;0
3;3000;opt-nonconvex;2017-12-13;1-dev;Non-convex Optimization;A seemingly simple optimization problem turning weird;0;0
